"Time","Voter Turnout","Cumulative Turnout Rate (%)"
08:30,44,613,1.28
09:30,127,887,3.68
10:30,244,604,7.04
11:30,380,040,10.94
12:30,514,654,14.82
13:30,647,114,18.63
14:30,784,130,22.57
15:30,920,750,26.51
16:30,1,064,580,30.65
17:30,1,206,088,34.72
18:30,1,350,584,38.88
19:30,1,487,872,42.83
20:30,1,631,749,46.97
21:30,1,791,857,51.58
22:30,1,983,049,57.09
