"Counting Station",801,802,803,804,805,806,807,808,809,Total
E0701,429,691,585,37,53,561,17,382,110,2865 
E0801,654,553,732,14,22,247,10,265,273,2770 
E0901,435,530,661,19,22,644,20,346,152,2829 
E1001,573,988,739,25,42,387,34,450,143,3381 
E1101,622,1335,826,34,39,431,29,493,312,4121 
E1201,605,667,902,30,25,472,29,569,232,3531 
E1301,455,595,711,25,30,524,23,356,159,2878 
E1401,548,528,836,17,32,483,18,386,201,3049 
E1501,444,480,619,16,28,341,19,359,185,2491 
E1601,369,507,665,48,23,305,21,402,132,2472 
E1701,197,342,382,16,20,135,3,157,175,1427 
E1702,40,54,69,0,7,19,1,25,21,236 
E1901,797,1657,1058,50,60,445,28,590,198,4883 
F0101,566,859,994,116,44,538,20,576,203,3916 
F0201,573,703,1057,63,44,433,27,603,180,3683 
F0301,389,829,647,69,28,332,27,371,128,2820 
F0401,712,1103,991,301,53,1186,35,683,196,5260 
F0501,396,786,801,312,23,290,24,432,139,3203 
F0601,447,678,784,60,38,379,29,420,167,3002 
F0701,275,827,436,43,23,248,16,296,77,2241 
F0801,575,746,808,163,39,507,30,525,164,3557 
F0901,608,1097,1101,275,79,1335,60,811,180,5546 
F1001,717,710,962,176,42,1134,20,654,189,4604 
F1101,386,1015,710,145,27,327,22,390,151,3173 
F1201,671,1507,1422,467,54,532,38,844,286,5821 
F1301,700,1305,1191,20,61,356,18,566,378,4595 
F1401,669,979,1089,27,67,335,18,565,242,3991 
F1501,704,1039,1187,30,63,377,22,660,346,4428 
F1601,687,817,1338,34,61,382,23,642,409,4393 
F1701,355,487,529,71,24,323,18,390,144,2341 
F1801,731,1957,1014,140,55,482,44,715,142,5280 
F1901,777,732,1113,214,49,868,28,696,157,4634 
F2001,529,709,752,115,43,727,35,612,115,3637 
F2101,439,616,838,22,50,243,18,360,313,2899 
F2201,739,787,926,334,53,788,25,637,162,4451 
F2301,304,324,415,77,12,444,14,296,52,1938 
F2302,297,419,559,106,29,403,31,272,159,2275 
G0101,653,1295,1128,143,56,502,33,648,213,4671 
G0201,849,1771,1574,76,66,987,48,889,371,6631 
G0301,643,1313,1116,70,48,711,50,622,231,4804 
G0401,629,786,933,39,56,1136,30,547,203,4359 
G0501,379,861,582,166,54,224,22,353,113,2754 
G0502,281,728,600,167,25,196,18,290,64,2369 
G0601,424,725,800,25,51,241,20,364,283,2933 
G0602,217,336,407,12,23,163,8,178,150,1494 
G0701,213,346,412,16,25,137,8,173,169,1499 
G0702,358,456,815,32,38,235,12,376,157,2479 
G0801,388,686,817,27,37,242,15,331,262,2805 
G0901,377,691,764,9,41,267,15,371,303,2838 
G0902,57,146,91,1,6,53,2,27,61,444 
G1001,340,847,622,30,25,164,23,378,133,2562 
G1101,418,557,814,97,39,588,20,381,166,3080 
G1201,264,747,461,40,32,521,24,341,147,2577 
G1301,397,1141,731,53,41,824,42,490,247,3966 
G1501,255,1168,420,15,31,288,21,232,82,2512 
G1601,376,617,760,25,20,479,18,341,133,2769 
G1701,343,535,633,12,20,257,17,236,215,2268 
G1702,324,462,593,23,22,299,16,305,127,2171 
G1801,902,1239,1555,57,76,617,30,764,454,5694 
G1901,238,350,455,13,27,118,11,240,176,1628 
G1902,295,407,502,10,23,213,16,255,119,1840 
G2001,733,1065,1297,53,67,885,26,694,336,5156 
G2101,546,1226,764,75,51,581,22,510,193,3968 
G2201,469,689,760,29,27,385,27,457,138,2981 
G2301,533,1033,965,31,44,459,24,462,128,3679 
G2401,875,1252,1499,49,66,675,41,730,275,5462 
H0101,659,1229,1460,50,80,1082,58,824,437,5879 
H0201,717,988,1404,31,59,633,32,798,264,4926 
H0301,421,496,763,22,51,1062,30,465,122,3432 
H0401,419,732,974,24,52,320,31,537,199,3288 
H0501,797,1671,1560,46,89,573,50,830,250,5866 
H0601,538,797,1001,25,59,401,34,585,189,3629 
H0602,347,430,708,7,33,150,18,371,192,2256 
H0701,259,662,553,13,34,286,22,305,138,2272 
H0702,402,861,861,27,42,383,20,503,192,3291 
H0801,536,1588,1195,38,76,571,45,626,214,4889 
H0901,309,616,568,44,46,323,22,346,112,2386 
H1001,585,1121,1248,55,86,631,48,768,254,4796 
H1101,322,857,685,24,36,262,32,384,92,2694 
H1102,283,811,690,26,59,268,26,356,94,2613 
H1201,461,648,977,23,49,407,37,521,216,3339 
H1202,334,478,632,13,41,212,24,336,140,2210 
H1301,315,426,599,26,37,407,19,351,139,2319 
H1302,500,754,1007,30,45,452,32,582,217,3619 
H1401,274,458,474,59,31,495,24,282,76,2173 
H1402,229,329,413,67,27,485,12,305,73,1940 
H1501,741,1022,1275,38,73,896,43,778,217,5083 
H1601,637,1724,1532,38,87,549,72,745,225,5609 
H1701,643,1094,1417,41,84,782,37,770,283,5151 
H1801,715,1066,1501,48,115,1368,65,888,195,5961 
H1901,640,1630,1522,63,82,640,65,967,198,5807 
H2001,411,430,1043,14,27,459,16,345,129,2874 
H2002,543,601,1267,21,38,763,33,470,196,3932 
H2101,519,1359,1169,30,37,548,39,493,272,4466 
H2201,405,933,1121,19,36,529,30,403,88,3564 
H2301,416,576,941,13,57,1137,27,428,106,3701 
H2401,450,503,1222,18,44,600,20,516,205,3578 
H2402,207,215,351,5,18,676,14,194,48,1728 
H2501,421,447,903,26,49,1635,35,408,107,4031 
J0101,198,474,523,9,24,232,16,290,89,1855 
J0102,213,372,480,10,21,230,20,225,73,1644 
J0201,522,890,1082,25,53,352,26,577,569,4096 
J0301,413,1259,788,13,28,281,25,360,109,3276 
J0401,750,1355,1785,28,139,453,45,837,327,5719 
J0501,442,1388,883,22,52,362,50,479,159,3837 
J0601,345,1626,823,33,55,567,50,499,196,4194 
J0701,229,1110,505,14,45,315,15,304,102,2639 
J0702,258,580,546,19,30,173,17,215,74,1912 
J0801,414,1183,1531,28,41,491,31,363,120,4202 
J0901,390,755,856,13,42,437,20,448,131,3092 
J0902,268,1287,612,15,34,585,21,368,1108,4298 
J1001,400,944,941,22,32,486,36,353,102,3316 
J1101,545,2162,1180,37,80,693,62,637,243,5639 
J1201,474,1228,996,18,53,706,42,541,161,4219 
J1301,472,828,1052,35,54,414,24,524,204,3607 
J1302,410,608,804,20,40,313,15,458,198,2866 
J1401,414,1280,838,23,50,661,31,450,180,3927 
J1402,112,371,247,12,17,159,20,157,45,1140 
J1501,399,1653,915,41,60,477,54,536,146,4281 
J1601,537,945,1342,30,73,784,42,601,169,4523 
J1701,175,391,378,9,21,512,13,194,96,1789 
J1702,425,597,882,21,54,719,29,527,141,3395 
J1801,574,1687,1169,35,50,454,41,603,161,4774 
J1802,494,1420,993,39,53,615,32,550,171,4367 
J1901,594,1335,1241,58,87,710,48,790,212,5075 
J2001,386,619,805,33,40,494,26,381,183,2967 
J2101,333,951,790,21,43,431,32,421,279,3301 
J2201,417,1019,1007,40,65,547,42,856,179,4172 
J2301,563,1761,1300,40,69,1048,46,702,639,6168 
J2302,254,575,522,13,31,504,23,309,464,2695 
J2401,436,917,784,31,55,872,38,483,152,3768 
J2402,61,130,129,2,10,57,6,62,37,494 
J2501,999,1225,1992,23,108,454,33,1010,633,6477 
J2601,829,1113,1975,37,84,547,37,923,428,5973 
J2701,668,1390,1328,32,80,798,43,785,226,5350 
J2801,545,790,1372,20,49,678,34,580,196,4264 
J2901,503,1029,1044,19,58,397,29,493,219,3791 
J3001,239,597,440,14,27,306,24,252,95,1994 
J3002,280,414,598,14,28,280,17,288,121,2040 
J3101,482,775,1115,32,53,481,37,545,284,3804 
J3201,490,1045,1328,27,49,593,32,449,202,4215 
J3301,516,1514,868,27,60,471,46,511,150,4163 
J3401,189,293,341,3,23,139,13,196,74,1271 
J3402,433,1276,909,22,64,418,35,430,147,3734 
J3501,628,858,1456,20,70,453,28,799,276,4588 
J3601,502,745,838,40,36,904,43,500,152,3760 
J3701,408,874,589,24,47,991,30,361,292,3616 
K0101,249,272,611,10,54,240,24,486,648,2594 
K0201,232,249,636,5,36,266,18,663,789,2894 
K0301,776,738,1904,59,100,522,43,1436,1485,7063 
K0401,410,329,851,29,45,364,22,676,1172,3898 
K0501,334,240,742,24,52,1275,22,730,425,3844 
K0601,701,812,1640,37,98,489,54,1243,905,5979 
K0701,509,411,1619,40,78,372,47,1083,1261,5420 
K0801,281,276,867,24,60,215,21,667,779,3190 
K0901,625,564,1665,37,95,445,48,1131,1258,5868 
K1001,758,847,1948,49,126,458,56,1186,1269,6697 
K1101,519,464,1427,27,78,296,38,916,1150,4915 
K1102,282,282,780,27,48,229,24,567,833,3072 
K1201,85,136,273,5,12,89,11,166,201,978 
K1202,199,238,452,11,27,128,12,265,327,1659 
K1301,389,366,991,24,51,184,54,928,514,3501 
K1401,503,609,1472,19,77,502,58,1251,1369,5860 
K1501,231,317,807,24,731,344,27,701,745,3927 
K1502,91,114,307,7,52,97,9,175,221,1073 
K1601,311,335,996,15,608,536,29,885,840,4555 
K1701,244,236,526,20,54,406,18,596,895,2995 
K1801,166,175,372,15,31,175,19,398,602,1953 
K1802,189,178,495,9,60,253,20,489,687,2380 
L0101,217,202,606,22,26,178,12,392,336,1991 
L0102,124,141,366,9,9,115,14,203,281,1262 
L0201,431,427,1586,39,53,362,50,764,995,4707 
L0202,261,265,786,17,33,228,25,493,383,2491 
L0301,301,314,948,32,28,256,25,498,651,3053 
L0302,116,121,421,9,16,87,8,191,191,1160 
L0401,330,314,784,95,35,760,41,627,379,3365 
L0402,171,171,424,14,10,192,18,252,313,1565 
L0501,368,282,904,35,41,313,44,707,1007,3701 
L0601,307,226,743,27,39,283,30,613,623,2891 
L0602,312,294,1035,18,30,332,23,587,738,3369 
L0701,547,461,1620,40,68,524,50,960,722,4992 
L0801,511,429,1254,51,64,548,40,944,595,4436 
L0901,249,212,574,31,29,877,16,372,229,2589 
L0902,96,75,221,9,17,249,8,158,163,996 
L1001,447,356,1316,39,34,1340,50,782,433,4797 
L1101,86,108,300,8,9,136,11,192,166,1016 
L1102,193,256,588,19,17,265,21,410,373,2142 
L1201,340,364,829,21,34,380,54,552,448,3022 
L1202,99,113,237,8,19,115,10,136,179,916 
L1301,122,150,388,6,12,83,10,173,241,1185 
L1302,370,447,1053,21,44,361,28,517,575,3416 
L1401,638,656,1629,54,55,559,91,1137,1068,5887 
L1501,490,392,1182,57,48,359,42,869,1202,4641 
L1601,588,472,1615,102,69,413,41,892,924,5116 
L1701,305,208,885,41,46,330,39,599,749,3202 
L1801,230,200,622,32,20,231,19,360,259,1973 
L1802,290,252,582,51,32,384,26,440,726,2783 
L1901,291,335,783,24,17,215,17,379,610,2671 
L1902,54,53,82,4,6,48,3,59,109,418 
L2001,364,386,1081,34,48,385,35,788,986,4107 
L2002,33,34,78,2,4,59,6,55,67,338 
L2101,415,399,1645,26,46,482,36,724,615,4388 
L2201,415,341,1297,45,46,462,53,802,941,4402 
L2301,464,370,1498,50,58,1072,52,935,579,5078 
L2401,307,416,481,28,38,385,80,371,530,2636 
L2402,67,80,258,5,8,148,6,139,188,899 
L2501,411,372,1426,45,52,444,53,998,1156,4957 
L2601,373,226,1629,31,34,271,30,649,1410,4653 
L2701,421,416,1506,31,37,412,39,722,538,4122 
L2702,152,151,568,15,23,131,12,243,215,1510 
L2801,406,277,1247,51,56,1388,65,878,460,4828 
L2802,44,48,160,3,4,84,4,86,67,500 
L2901,144,116,381,19,19,300,19,290,223,1511 
L2902,121,87,292,9,13,172,9,169,172,1044 
L2903,142,127,361,9,19,124,14,220,245,1261 
M0101,287,301,1142,16,35,301,32,516,1225,3855 
M0201,237,297,1062,25,24,486,76,490,654,3351 
M0202,178,267,693,22,23,190,18,316,447,2154 
M0301,170,295,2663,23,26,337,28,436,960,4938 
M0401,121,254,2411,7,18,230,19,321,934,4315 
M0501,223,238,566,21,17,191,27,299,546,2128 
M0502,297,299,1024,21,27,268,30,549,691,3206 
M0601,249,283,764,15,27,190,27,324,420,2299 
M0701,303,341,921,18,27,239,34,548,642,3073 
M0801,34,48,101,2,1,85,8,65,75,419 
M0802,176,239,902,18,34,510,22,388,423,2712 
M0901,245,269,951,25,38,304,24,474,610,2940 
M0902,162,187,579,17,16,241,14,336,449,2001 
M1001,144,143,486,14,14,345,18,245,271,1680 
M1002,225,258,761,12,17,476,24,368,579,2720 
M1101,106,139,441,10,12,122,13,188,546,1577 
M1102,282,270,889,14,39,295,32,562,783,3166 
M1201,119,154,434,10,19,175,16,257,504,1688 
M1301,85,170,597,13,15,124,13,227,509,1753 
M1302,37,77,157,8,4,39,2,93,255,672 
M1401,20,27,74,4,3,59,4,41,125,357 
M1402,97,126,301,7,18,530,18,189,203,1489 
M1403,115,138,412,8,10,289,17,241,276,1506 
M1501,271,342,852,24,39,309,39,730,724,3330 
M1502,277,368,936,24,37,301,23,757,727,3450 
M1601,403,334,1465,41,55,419,49,862,1278,4906 
M1701,342,278,1104,28,27,338,37,648,898,3700 
M1801,320,374,933,14,33,354,29,594,658,3309 
M1802,204,205,863,41,27,225,30,551,714,2860 
M1901,325,360,1012,29,39,620,42,711,872,4010 
M2001,395,416,1104,35,30,1229,43,652,742,4646 
M2101,355,389,1271,36,50,629,65,791,1007,4593 
M2201,352,370,1520,55,55,1374,53,976,806,5561 
M2301,353,396,1374,44,43,959,37,800,728,4734 
M2401,292,389,897,35,40,1051,46,909,560,4219 
M2501,564,630,1565,44,61,432,29,884,1356,5565 
M2601,267,231,809,26,25,251,31,700,656,2996 
M2701,355,348,1208,37,46,355,45,981,886,4261 
M2801,327,324,1099,44,40,295,51,920,977,4077 
M2901,410,521,1332,26,34,426,40,885,910,4584 
M3001,403,527,1005,26,58,402,52,667,793,3933 
M3101,383,541,1245,23,59,247,30,517,832,3877 
M3201,89,110,277,6,15,72,11,135,406,1121 
M3202,241,333,723,14,30,27,166,307,733,2574 
M3301,221,287,679,26,23,468,20,412,421,2557 
M3401,193,237,513,23,26,196,23,389,1014,2614 
M3501,407,417,1153,23,51,382,33,667,1440,4573 
S0101,382,453,902,32,33,543,20,1889,664,4918 
S0201,404,474,1082,38,65,766,44,2694,1728,7295 
S0301,248,275,855,17,33,759,14,692,496,3389 
S0401,386,324,1224,23,56,1029,41,1098,466,4647 
S0501,213,347,563,14,26,461,24,2128,773,4549 
S0601,139,331,377,17,21,390,14,1167,722,3178 
S0602,90,114,259,11,14,226,16,777,175,1682 
S0701,548,480,1411,26,69,479,43,1472,1341,5869 
