"Counting Station",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
D1102,77,9,363,62,142,16,35,187,12,110,0,67,212,146,60,1498
D1103,50,11,349,40,154,15,19,205,4,155,1,42,157,122,117,1441
D1201,6,10,95,12,29,2,37,43,1,31,1,5,29,29,31,361
D1202,222,71,1180,306,382,54,283,995,58,537,6,62,721,742,310,5929
D1301,26,40,187,86,109,8,131,211,5,92,2,9,115,136,141,1298
D1302,36,69,451,190,469,20,281,479,13,241,4,31,317,294,392,3287
D1401,66,146,520,244,1036,49,491,671,16,432,11,34,506,442,835,5499
D1501,25,49,249,80,82,9,97,202,5,129,1,7,190,155,267,1547
D1502,91,83,583,167,168,20,195,513,12,347,2,39,619,327,739,3905
D1601,47,5,305,30,116,11,74,21,1,83,0,18,111,65,70,957
D1602,56,10,382,44,148,22,14,85,3,114,0,24,98,96,72,1168
D1701,99,76,781,168,491,19,228,413,18,271,9,46,289,274,329,3511
D1702,23,5,99,39,153,9,59,107,4,43,2,7,38,35,107,730
LC001,2,0,4,0,9,1,1,7,0,5,0,0,5,3,4,41
