"Counting Station",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Total
P1801,60,59,1,64,111,146,160,30,51,100,56,61,50,73,3,2,12,156,96,1,78,377,1747
P1802,89,94,4,103,113,224,207,22,65,121,68,82,53,98,0,6,16,216,120,1,142,469,2313
P1803,36,60,1,29,42,87,85,33,34,91,2,78,13,42,0,3,3,59,39,0,74,120,931
P1901,174,258,9,109,213,344,399,96,108,395,231,212,81,143,2,8,24,281,169,2,240,189,3687
Q0101,431,217,8,162,320,345,474,60,95,1085,370,135,86,136,3,15,34,366,228,3,94,81,4748
Q0102,61,38,1,31,44,55,89,11,25,301,26,27,25,28,4,4,8,69,46,0,12,11,916
Q0201,318,171,3,114,243,296,384,46,78,718,341,178,60,129,3,10,27,302,150,0,164,88,3823
Q0401,245,173,4,87,139,178,245,63,55,502,40,119,56,77,1,5,12,209,119,3,216,65,2613
Q0501,228,166,6,99,175,202,250,61,64,604,32,113,49,86,5,3,13,238,119,0,132,83,2728
Q0601,957,331,5,196,269,352,507,68,132,556,5,139,489,224,5,12,27,422,317,0,246,121,5380
Q0701,976,392,10,125,288,563,630,142,158,529,0,247,95,288,2,8,8,412,169,3,240,143,5428
Q0801,750,240,5,118,178,281,350,55,105,581,5,156,130,210,1,11,18,297,147,2,176,128,3944
Q0901,427,101,3,222,343,190,316,26,91,724,21,74,251,671,3,9,19,300,326,0,190,134,4441
Q1001,559,263,6,329,436,388,535,58,126,951,10,161,381,241,13,13,31,469,474,4,267,192,5907
Q1101,704,261,7,182,322,471,553,108,162,792,9,212,317,924,8,13,26,429,262,2,243,151,6158
Q1201,937,324,11,216,318,439,581,96,317,831,3,196,244,341,2,14,30,465,401,1,312,156,6235
Q1301,714,284,4,114,220,421,466,86,128,486,0,151,132,341,3,10,18,382,189,1,196,119,4465
Q1401,1002,393,7,267,355,598,684,139,207,802,4,253,304,348,3,11,28,514,346,2,268,153,6688
Q1501,161,53,4,56,72,74,134,7,35,85,1,17,65,104,2,4,3,113,90,0,125,18,1223
Q1502,311,171,4,123,157,191,253,31,73,324,4,79,110,176,3,7,11,222,165,0,269,80,2764
Q1601,472,256,4,262,438,408,490,21,143,364,7,124,306,334,5,18,13,486,455,5,967,182,5760
Q1701,562,282,12,322,512,446,520,37,209,681,19,163,366,497,8,17,44,576,500,4,551,220,6548
Q1801,749,353,7,259,396,515,671,111,182,808,6,322,300,993,5,11,35,467,365,2,435,209,7201
Q1901,897,452,11,315,404,610,620,117,267,900,3,307,275,1418,9,17,44,535,386,0,438,245,8270
Q1902,333,148,7,126,138,237,268,66,110,422,0,130,116,675,1,6,29,216,145,1,136,84,3394
Q2001,540,328,10,327,523,394,538,49,185,1334,16,131,411,400,6,21,27,544,461,2,250,133,6630
Q2101,695,316,7,379,500,456,589,55,173,1209,18,184,361,282,5,17,36,546,515,3,273,177,6796
Q2201,810,348,6,245,360,473,645,115,174,1159,8,211,223,300,5,10,28,460,347,0,217,166,6310
Q2301,902,448,12,335,476,523,664,109,176,623,10,190,310,370,5,20,33,564,464,2,1067,159,7462
Q2401,302,155,8,371,458,368,483,28,135,719,15,96,1087,286,6,17,28,513,923,4,136,79,6217
Q2501,520,357,7,257,387,429,625,62,225,1754,4,138,376,276,3,13,20,470,545,1,148,94,6711
Q2601,570,100,3,74,114,206,211,46,46,193,1,69,40,88,1,5,2,157,83,0,61,39,2109
