"Counting Station",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Total
L2902,20,62,0,3,114,0,243,107,82,87,46,60,17,66,47,30,3,2,4,190,1183
L2903,42,78,2,4,151,1,233,152,114,103,61,74,22,79,42,32,3,3,4,274,1474
M0101,50,240,5,8,374,3,371,318,1227,254,161,290,71,171,131,69,7,1,4,650,4405
M0201,52,214,4,9,318,2,826,210,563,195,187,200,55,183,109,48,10,6,15,553,3759
M0202,34,151,4,7,197,5,466,162,370,246,120,108,40,132,117,80,8,3,6,459,2715
M0301,64,689,3,10,582,1,387,235,1089,183,212,376,119,276,128,64,11,4,17,780,5230
M0401,76,539,6,15,449,1,283,201,1207,145,208,281,63,160,108,59,17,7,12,636,4473
M0501,27,128,1,5,200,1,245,173,600,126,94,183,45,100,60,48,6,6,9,330,2387
M0502,36,207,5,10,390,2,677,193,595,277,130,255,58,133,113,66,9,5,10,617,3788
M0601,33,124,4,1,158,1,1139,103,143,286,102,113,37,57,65,41,5,2,2,530,2946
M0701,52,213,3,10,338,2,570,225,569,280,149,262,59,137,131,82,10,7,12,616,3727
M0801,5,29,0,0,29,0,67,63,49,19,19,26,8,57,11,17,2,0,1,69,471
M0802,34,165,6,6,244,1,492,204,326,259,167,155,35,354,92,54,10,4,14,569,3191
M0901,59,161,3,4,307,2,464,276,465,312,162,170,54,179,107,86,11,3,8,687,3520
M0902,40,102,2,5,177,0,280,271,369,213,131,99,34,117,82,46,6,5,7,409,2395
M1001,17,76,2,2,148,1,198,188,213,98,82,107,39,262,51,19,6,3,6,365,1883
M1002,40,123,3,3,254,4,331,336,496,154,128,160,43,330,78,59,8,0,9,501,3060
M1101,20,82,2,7,122,2,206,198,429,136,64,92,24,78,48,21,1,6,5,269,1812
M1102,62,193,5,11,367,3,415,239,690,229,182,210,49,208,92,63,12,6,14,567,3617
M1201,28,60,1,4,175,0,164,519,220,131,85,76,24,80,49,30,4,3,12,290,1955
M1301,20,100,3,9,201,1,187,250,420,119,97,83,20,68,33,32,3,0,6,333,1985
M1302,5,31,1,4,52,0,69,149,191,38,31,25,7,23,14,6,1,3,2,97,749
M1401,3,9,0,1,24,1,83,23,129,14,20,12,3,17,5,7,3,1,1,43,399
M1402,21,43,2,4,129,1,659,92,159,77,60,52,24,64,35,29,3,1,5,197,1657
M1403,39,87,0,5,132,1,474,132,190,118,59,78,24,67,43,42,3,4,8,233,1739
M1501,111,171,7,12,303,1,614,199,658,202,151,187,57,155,98,56,5,3,7,614,3611
M1502,94,154,5,7,412,2,606,174,681,192,175,211,80,172,99,61,13,6,11,649,3804
M1601,97,217,6,84,696,4,350,245,1348,226,279,329,113,205,106,56,13,2,16,882,5274
M1701,62,140,4,207,520,2,266,147,897,165,226,233,95,191,77,42,4,6,15,648,3947
M1801,78,181,6,14,332,2,602,205,530,248,194,215,79,193,95,102,8,2,13,576,3675
M1802,53,114,5,125,466,2,157,120,740,92,146,193,52,119,42,40,5,6,10,570,3057
M1901,73,116,4,11,476,5,307,268,862,155,170,526,101,450,67,86,12,5,13,606,4313
M2001,79,175,6,23,448,5,406,333,684,173,230,507,79,1014,99,108,5,3,14,654,5045
M2101,75,186,4,18,730,0,227,550,910,158,230,330,158,481,74,62,9,6,12,728,4948
M2201,74,136,3,14,813,3,185,446,594,155,251,373,427,1386,61,80,11,6,19,901,5938
M2301,84,226,1,28,701,1,275,355,564,151,251,301,167,1043,70,61,13,3,16,757,5068
M2401,260,164,3,20,389,2,354,339,440,185,219,279,111,1072,88,69,6,8,6,546,4560
M2501,105,380,5,24,531,3,849,417,1228,527,263,382,114,320,211,162,13,9,21,1199,6763
M2601,126,109,2,13,332,4,215,185,681,130,531,166,93,132,62,49,5,4,10,436,3285
M2701,154,204,6,13,515,4,304,189,1078,193,341,265,131,184,102,62,12,6,14,844,4621
M2801,154,158,3,18,500,2,209,148,1460,145,238,239,110,116,68,25,11,7,12,775,4398
M2901,127,295,4,20,498,3,584,328,911,330,274,315,103,257,156,113,12,5,18,892,5245
M3001,58,189,7,22,385,2,1045,265,478,268,196,257,73,207,119,120,17,6,19,671,4404
M3101,47,365,4,9,306,4,861,360,612,646,205,188,37,202,165,228,7,7,16,840,5109
M3201,14,42,1,6,75,2,113,291,232,73,63,52,18,33,42,66,8,0,7,161,1299
M3202,37,182,0,7,198,2,396,453,541,315,126,119,33,96,75,118,7,11,8,378,3102
M3301,24,103,2,7,241,2,698,321,229,188,114,123,28,120,62,99,7,5,12,636,3021
M3401,37,85,2,3,204,3,227,713,728,119,87,80,23,63,49,55,3,2,7,489,2979
M3501,28,172,3,10,300,4,481,1157,957,278,151,161,35,118,97,100,12,4,10,1256,5334
S0101,700,334,7,11,428,5,513,243,73,380,287,256,83,496,242,714,11,7,26,642,5458
S0201,1727,350,5,9,559,10,357,275,82,235,301,266,85,482,123,2084,24,9,28,622,7633
S0301,199,505,1,2,259,0,220,160,43,146,125,135,39,921,68,388,8,6,22,346,3593
S0401,339,670,5,3,365,2,294,141,31,284,265,216,103,1027,132,512,17,5,52,505,4968
S0501,1735,110,3,5,391,2,192,153,60,131,181,141,65,306,45,842,15,2,27,345,4751
S0601,996,72,3,1,213,2,213,275,57,96,122,79,35,282,32,665,11,1,9,218,3382
S0602,565,53,1,1,169,3,80,44,16,51,80,75,28,170,24,250,5,1,13,149,1778
S0701,293,1409,3,4,505,3,387,131,48,234,257,217,90,294,104,1733,11,8,31,585,6347
